TrialNum,LeverNum,AbsTime,TrialCond,DispTime,TrialTime,coopTS,coopSucc,Hit,TrialEnd,AnimalID,RatID
61,1,697.51,3,699.05,0.819999999999936,697.53,1,1,1,KL007Y-KL007G,0.0
62,2,707.78,3,709.2,0.529999999999973,708.08,1,1,0,KL007Y-KL007G,1.0
62,1,708.06,3,709.2,0.809999999999945,708.08,1,1,1,KL007Y-KL007G,0.0
63,1,720.84,0,,0.790000000000077,,0,1,0,KL007Y-KL007G,0.0
63,1,721.13,0,,1.08000000000004,,0,-1,0,KL007Y-KL007G,0.0
64,2,731.48,3,733.37,0.690000000000055,731.6,1,1,0,KL007Y-KL007G,0.0
64,1,731.58,3,733.37,0.790000000000077,731.6,1,1,1,KL007Y-KL007G,
65,2,741.57,0,,0.680000000000064,,0,1,0,KL007Y-KL007G,0.0
65,2,742.92,0,,2.02999999999997,,0,-1,0,KL007Y-KL007G,1.0
66,1,751.46,0,,0.840000000000032,,0,1,0,KL007Y-KL007G,
66,1,752.11,0,,1.49000000000001,,0,-1,0,KL007Y-KL007G,0.0
67,1,762.86,0,,0.850000000000023,,0,1,0,KL007Y-KL007G,
67,1,763.13,0,,1.12,,0,-1,0,KL007Y-KL007G,
68,2,773.2,0,,2.19000000000005,,0,1,0,KL007Y-KL007G,0.0
68,2,774.93,0,,3.91999999999996,,0,-1,0,KL007Y-KL007G,1.0
69,1,788.34,0,,4.69000000000005,,0,1,0,KL007Y-KL007G,
70,1,797.95,0,,3.06000000000006,,0,1,0,KL007Y-KL007G,0.0
71,2,805.07,0,,0.770000000000095,,0,1,0,KL007Y-KL007G,
71,2,805.78,0,,1.48000000000002,,0,-1,0,KL007Y-KL007G,1.0
72,2,816.05,0,,0.629999999999995,,0,1,0,KL007Y-KL007G,0.0
72,2,817.42,0,,2.0,,0,-1,0,KL007Y-KL007G,0.0
73,1,833.51,3,835.62,7.90999999999997,834.15,1,1,0,KL007Y-KL007G,0.0
73,2,834.12,3,835.62,8.51999999999998,834.15,1,1,1,KL007Y-KL007G,1.0
