TrialNum,LeverNum,AbsTime,TrialCond,DispTime,TrialTime,coopTS,coopSucc,Hit,TrialEnd,AnimalID,CoopTimeLimit,RatID
89,1,1144.66,3,1145.93,1.95000000000005,1144.69,1,1,1,KL006R-KL006G,1.25,0.0
90,1,1163.36,0,,6.56999999999994,,0,1,0,KL006R-KL006G,1.25,0.0
90,1,1163.63,0,,6.84000000000015,,0,-1,0,KL006R-KL006G,1.25,0.0
90,1,1164.27,0,,7.48000000000002,,0,-1,0,KL006R-KL006G,1.25,0.0
90,1,1164.68,0,,7.8900000000001,,0,-1,0,KL006R-KL006G,1.25,0.0
91,2,1175.54,0,,0.889999999999873,,0,1,0,KL006R-KL006G,1.25,1.0
91,2,1175.7,0,,1.04999999999995,,0,-1,0,KL006R-KL006G,1.25,1.0
91,1,1177.0,0,,2.34999999999991,,0,1,1,KL006R-KL006G,1.25,0.0
91,2,1177.08,0,,2.42999999999984,,0,-2,0,KL006R-KL006G,1.25,1.0
92,1,1184.73,3,1187.12,1.0,1185.13,1,1,0,KL006R-KL006G,1.25,0.0
92,2,1185.1,3,1187.12,1.36999999999989,1185.13,1,1,1,KL006R-KL006G,1.25,1.0
92,2,1185.32,3,1187.12,1.58999999999992,1185.13,1,-2,0,KL006R-KL006G,1.25,1.0
93,1,1200.53,0,,5.02999999999997,,0,1,0,KL006R-KL006G,1.25,0.0
94,1,1211.8,3,1214.01,0.779999999999973,1211.92,1,1,0,KL006R-KL006G,1.25,0.0
94,2,1211.89,3,1214.01,0.870000000000118,1211.92,1,1,1,KL006R-KL006G,1.25,1.0
94,2,1212.17,3,1214.01,1.15000000000009,1211.92,1,-2,0,KL006R-KL006G,1.25,1.0
95,1,1226.09,0,,4.25,,0,1,0,KL006R-KL006G,1.25,0.0
96,1,1237.18,3,1238.78,0.700000000000045,1237.34,1,1,0,KL006R-KL006G,1.25,0.0
96,2,1237.33,3,1238.78,0.849999999999909,1237.34,1,1,1,KL006R-KL006G,1.25,1.0
96,2,1237.48,3,1238.78,1.0,1237.34,1,-2,0,KL006R-KL006G,1.25,1.0
97,1,1247.7,0,,1.36000000000013,,0,1,0,KL006R-KL006G,1.25,0.0
98,1,1256.6,0,,0.809999999999945,,0,1,0,KL006R-KL006G,1.25,0.0
98,1,1257.14,0,,1.35000000000014,,0,-1,0,KL006R-KL006G,1.25,0.0
99,1,1270.58,0,,6.08999999999992,,0,1,0,KL006R-KL006G,1.25,0.0
99,1,1271.24,0,,6.75,,0,-1,0,KL006R-KL006G,1.25,0.0
99,1,1271.68,0,,7.19000000000005,,0,-1,0,KL006R-KL006G,1.25,0.0
100,1,1278.07,3,1280.08,0.700000000000045,1278.29,1,1,0,KL006R-KL006G,1.25,0.0
100,2,1278.26,3,1280.08,0.8900000000001,1278.29,1,1,1,KL006R-KL006G,1.25,1.0
101,1,1292.32,0,,2.66999999999985,,0,1,0,KL006R-KL006G,1.25,0.0
102,1,1304.78,0,,1.17000000000007,,0,1,0,KL006R-KL006G,1.25,0.0
103,1,1314.34,3,1316.12,0.869999999999891,1314.38,1,1,0,KL006R-KL006G,1.25,0.0
103,2,1314.34,3,1316.12,0.869999999999891,1314.38,1,1,1,KL006R-KL006G,1.25,1.0
103,1,1314.69,3,1316.12,1.22000000000003,1314.38,1,-2,0,KL006R-KL006G,1.25,0.0
104,1,1329.94,0,,3.03999999999996,,0,1,0,KL006R-KL006G,1.25,0.0
104,1,1330.85,0,,3.94999999999982,,0,-1,0,KL006R-KL006G,1.25,0.0
105,1,1337.26,0,,0.730000000000018,,0,1,0,KL006R-KL006G,1.25,0.0
105,1,1338.01,0,,1.48000000000002,,0,-1,0,KL006R-KL006G,1.25,0.0
106,1,1348.56,0,,1.21000000000004,,0,1,0,KL006R-KL006G,1.25,0.0
106,1,1349.19,0,,1.84000000000015,,0,-1,0,KL006R-KL006G,1.25,0.0
107,1,1355.97,0,,0.720000000000027,,0,1,0,KL006R-KL006G,1.25,0.0
107,1,1356.84,0,,1.58999999999992,,0,-1,0,KL006R-KL006G,1.25,0.0
108,1,1366.79,0,,2.62999999999988,,0,1,0,KL006R-KL006G,1.25,0.0
