rat0_x,rat0_y,rat1_x,rat1_y
1254.6312255859375,482.4149169921875,650.4237670898438,232.4002685546875
1260.435302734375,486.56939697265625,658.4227294921875,244.47293090820312
1262.6229248046875,490.48321533203125,666.54443359375,250.48789978027344
1266.484375,498.4593505859375,674.5501708984375,260.55877685546875
1264.65380859375,504.4144592285156,680.6467895507812,266.4644470214844
1264.5406494140625,512.6691284179688,690.6370239257812,268.6376953125
1262.3402099609375,518.6976318359375,696.5722045898438,270.3023376464844
1256.395263671875,524.6617431640625,706.4853515625,276.6136474609375
1254.4208984375,526.669921875,710.4017944335938,280.5736083984375
1250.4185791015625,534.36669921875,716.6878051757812,282.35650634765625
1240.5838623046875,544.4840087890625,718.6206665039062,280.5147399902344
1228.34814453125,552.5142822265625,720.5137939453125,282.5152587890625
1216.59033203125,564.405029296875,720.4874267578125,280.48175048828125
1206.3839111328125,570.4619140625,722.6985473632812,282.5889587402344
1188.548828125,572.5248413085938,726.6941528320312,284.6700439453125
1172.5078125,580.615478515625,730.4990234375,282.4923095703125
1170.45703125,582.4924926757812,730.4605712890625,280.37835693359375
1168.3671875,582.6614990234375,730.4927978515625,272.533203125
1168.359375,582.5435791015625,730.7212524414062,262.51519775390625
1166.4742431640625,582.6192016601562,734.464111328125,254.54107666015625
1168.565673828125,582.474609375,738.57470703125,250.44772338867188
1170.6536865234375,580.526123046875,740.6375732421875,246.4834747314453
1176.366455078125,578.323974609375,740.5533447265625,242.65887451171875
1184.413330078125,576.5687255859375,742.5570068359375,240.55029296875
1190.5458984375,580.36767578125,744.4907836914062,236.44284057617188
1196.50341796875,584.53662109375,744.6026000976562,236.6185760498047
1200.547119140625,588.5997924804688,744.6734619140625,236.46942138671875
1202.6402587890625,594.4055786132812,744.37451171875,236.42491149902344
1206.514892578125,598.4968872070312,744.6129760742188,236.63134765625
1208.6947021484375,606.653564453125,744.562744140625,236.60423278808594
1208.611572265625,608.6784057617188,744.5233154296875,236.5912322998047
1210.609130859375,610.593017578125,744.4627685546875,236.5771942138672
1214.475341796875,610.6502685546875,744.47607421875,236.59487915039062
1224.5103759765625,614.531494140625,744.3958129882812,236.5886688232422
1228.57568359375,616.6731567382812,744.4283447265625,236.60377502441406
1228.615966796875,618.59619140625,744.4686889648438,236.5946044921875
1228.5836181640625,618.5634765625,744.5543212890625,236.58273315429688
1228.53369140625,614.6817016601562,744.4813232421875,236.5824737548828
1228.630126953125,612.5365600585938,744.4083251953125,236.53099060058594
1236.4456787109375,608.6285400390625,744.4428100585938,236.56752014160156
1246.409912109375,606.4967041015625,744.4668579101562,238.5652618408203
