left_x,left_y,right_x,right_y
194.34774780273438,498.59832763671875,318.5250549316406,404.3622131347656
196.6390838623047,502.3404541015625,306.45220947265625,400.49871826171875
200.50192260742188,500.3958740234375,294.5565185546875,400.519775390625
204.5135040283203,494.4896240234375,288.4742126464844,400.6412658691406
204.4524688720703,492.54095458984375,278.5084533691406,406.32965087890625
202.568359375,488.54443359375,274.7016296386719,400.5219421386719
204.4927215576172,492.2911071777344,276.5096435546875,396.59130859375
205.75042022207654,489.43539563255814,276.63250732421875,396.59765625
206.5204314668173,488.27658636810656,284.35894775390625,400.3998718261719
208.46649169921875,488.21636962890625,287.2959811326973,395.6526915673282
208.43605041503906,484.46875,288.3941650390625,394.44659423828125
208.41114807128906,484.4154052734375,314.06707521915223,387.5025358908303
208.49624633789062,484.38458251953125,324.5580143164604,383.6455673100156
206.6204833984375,480.2054748535156,338.3364134237702,379.3745229568571
210.5166473388672,472.2926025390625,352.4423176542123,375.3743443992565
209.23789830906162,471.4954231056322,358.29742431640625,366.38226318359375
209.97217629094143,467.0404712415243,378.59442138671875,364.66546630859375
210.60982797367723,447.24772004929196,398.48944091796875,366.38580322265625
328.14057042329955,429.19712567348444,416.50640869140625,366.6788330078125
365.5328595492807,416.6827267922816,430.70916748046875,368.48651123046875
446.648681640625,370.43145751953125,449.65644328456375,370.0182710186319
458.4811096191406,370.5229797363281,466.5280527470984,371.954237396282
468.6692810058594,370.5867919921875,483.51785206336086,373.72610635490815
480.5997619628906,366.46881103515625,448.36671032766344,374.96424715264953
484.5010070800781,362.5,389.06892201202606,375.98114311276373
482.65142822265625,360.6119689941406,194.72113037109375,382.3109436035156
480.5218505859375,362.4847412109375,192.5538787841797,378.70306396484375
476.5640869140625,368.34649658203125,188.54934692382812,378.532958984375
472.55096435546875,368.583251953125,184.5684051513672,374.71881103515625
470.581298828125,372.43084716796875,180.44381713867188,374.63604736328125
464.5023193359375,372.42596435546875,178.64273071289062,380.40325927734375
460.4433288574219,376.60137939453125,174.46226642397409,376.9012100569046
460.57635498046875,380.52642822265625,177.9365792279758,377.3685115423207
458.5245666503906,384.50982666015625,179.21751366836668,377.9509114119033
458.3969421386719,388.4557189941406,179.72241246039678,378.3827383981487
458.4390869140625,388.4978332519531,180.01906556680862,379.7194561254077
460.50067138671875,384.65338134765625,180.59090287649929,380.5016152358391
460.5826721191406,384.58441162109375,181.270256902668,381.7843719629283
460.6118469238281,384.6021728515625,182.5679473876953,378.56939697265625
462.29052734375,384.6678771972656,182.1757604092957,383.82621498007194
460.68939208984375,388.39874267578125,180.60353088378906,384.4918212890625
460.67083740234375,388.4783020019531,184.53976440429688,386.563720703125
460.6321105957031,388.4143371582031,188.3544464111328,390.38018798828125
460.6576232910156,388.3829040527344,184.48158264160156,388.58868408203125
460.62506103515625,388.38262939453125,180.6036376953125,388.52801513671875
460.61773681640625,388.35955810546875,180.65184020996094,388.5702819824219
460.60748291015625,388.34857177734375,180.6949920654297,388.542724609375
460.62701416015625,388.448974609375,184.51388549804688,388.4554748535156
460.6322021484375,388.39752197265625,184.68563842773438,388.4605712890625
460.6171875,388.4239501953125,188.48287963867188,388.46014404296875
460.63043212890625,388.3709716796875,182.62106323242188,384.5990905761719
460.6287841796875,388.3906555175781,182.55880737304688,384.45623779296875
460.63525390625,388.45867919921875,188.56553649902344,382.62579345703125
464.3363952636719,388.3842468261719,192.4025115966797,382.6661376953125
464.369384765625,388.42431640625,192.58055114746094,382.62933349609375
464.17987060546875,388.583251953125,342.01293107888387,374.6247220297172
328.59032186075973,387.4902916154745,472.4593505859375,376.48016357421875
196.52688598632812,382.7508239746094,482.66021728515625,368.4704895019531
196.5465545654297,388.29718017578125,494.3845520019531,364.50177001953125
200.34828186035156,386.37274169921875,504.4643859863281,358.4171447753906
198.4470672607422,386.37469482421875,516.4661254882812,350.6131591796875
198.44671630859375,386.46563720703125,528.4782104492188,342.506591796875
200.50747680664062,388.42230224609375,542.6539916992188,336.33349609375
200.52073669433594,386.48297119140625,568.483642578125,318.3743896484375
200.5890350341797,386.58050537109375,588.3341674804688,306.36846923828125
200.592041015625,386.6239929199219,600.4505004882812,294.6491394042969
200.63870239257812,386.5826416015625,612.468017578125,282.49810791015625
200.55987548828125,386.56329345703125,622.4298095703125,276.4105224609375
200.46824645996094,386.562255859375,648.3059692382812,250.59751892089844
200.50686645507812,386.5091552734375,658.3902587890625,242.31854248046875
