session_id,trial_number,date,rat_pair,familiarity,barrier_transparency,time_begin,time_first_press,time_coop_or_last_press,time_first_mag_entry,time_trial_end,all_time_sections_valid,successes_in_row,success,trial_frames,lever_press_exists,percent_gazing_original,percent_gazing,percent_interacting,percent_gazing_lev,percent_gazing_mag,percent_interacting_lev,percent_interacting_mag,time_wait_before_cue_both,time_wait_before_cue_rat0,time_wait_before_cue_rat1,distance_vs_wait_valid,time_wait_to_press_one,dist_furthest_from_lever,avg_horizontal_distance,avg_distance
041624_KL001_TimeOut_TrNum10,38,2024-04-16,KL001B-KL001Y,Training Partner,transparent,446.63,446.89,447.32,453.62,,True,2.0,1,287,True,0.0,0.0,0.0,0.0,0.0,0.1951219512195122,0.06620209059233449,4.632717816016174,153.0,139.0,True,0.2599999999999909,136.31110940221788,459.8629905748653,556.0296769667985
041624_KL001_TimeOut_TrNum10,39,2024-04-16,KL001B-KL001Y,Training Partner,transparent,456.18,456.65,457.62,,,False,0.0,0,312,True,0.0,0.0,8.012820512820513,0.0,0.003205128205128205,0.07532051282051282,0.1907051282051282,0.0,86.0,0.0,True,0.46999999999997044,1141.996751182792,334.81879625564966,410.88635011549127
041624_KL001_TimeOut_TrNum10,40,2024-04-16,KL001B-KL001Y,Training Partner,transparent,466.6,468.6,469.51,,,False,1.0,1,363,True,1.5151515151515151,0.0,2.7548209366391188,0.013774104683195593,0.0,0.21074380165289255,0.1046831955922865,0.0,0.0,0.0,False,,1128.09705904255,203.96271804515027,335.99126261634046
041624_KL001_TimeOut_TrNum10,41,2024-04-16,KL001B-KL001Y,Training Partner,transparent,478.67,479.29,479.35,481.95,,True,2.0,1,343,True,0.0,0.0,0.0,0.0,0.0,0.33819241982507287,0.1326530612244898,0.599920292721519,18.0,57.0,True,0.6200000000000045,138.65712398720783,235.6610884426889,394.89874301375437
041624_KL001_TimeOut_TrNum10,42,2024-04-16,KL001B-KL001Y,Training Partner,transparent,490.11,490.47,490.75,,,False,3.0,1,305,True,0.0,0.0,0.0,0.0,0.0,0.4163934426229508,0.1557377049180328,1.33315620604782,40.0,128.0,True,0.36000000000001364,134.88667450382823,333.82422267029233,467.14269451312146
041624_KL001_TimeOut_TrNum10,43,2024-04-16,KL001B-KL001Y,Training Partner,transparent,500.29,500.66,500.93,503.11,,True,4.0,1,156,True,0.0,0.0,0.0,0.0,0.0,0.28525641025641024,0.1858974358974359,1.466471826652602,44.0,141.0,True,0.37000000000000455,154.64494941232192,56.94582306671471,270.7204707910505
041624_KL002_TimeOut_TrNum7,1,2024-04-16,KL002B-KL002Y,Training Partner,transparent,10.01,10.82,11.65,14.09,,True,0.0,0,385,True,0.0,0.0,0.5194805194805194,0.0,0.0025974025974025974,0.2857142857142857,0.10649350649350649,0.0,19.0,0.0,True,0.8100000000000005,990.1518887809597,374.2362728212718,483.305469596811
041624_KL002_TimeOut_TrNum7,2,2024-04-16,KL002B-KL002Y,Training Partner,transparent,22.86,23.65,24.25,,,False,1.0,1,408,True,0.0,0.0,0.0,0.0,0.0,0.25735294117647056,0.049019607843137254,1.4666403841583486,56.0,44.0,True,0.7899999999999991,144.71444258708817,377.9875126612389,472.4827685947821
041624_KL002_TimeOut_TrNum7,3,2024-04-16,KL002B-KL002Y,Training Partner,transparent,36.46,36.85,37.34,39.88,,True,2.0,1,379,True,0.0,0.0,0.0,0.0,0.0,0.316622691292876,0.044854881266490766,0.0,28.0,0.0,True,0.39000000000000057,461.7840975548583,414.1042970671523,530.250112377739
041624_KL002_TimeOut_TrNum7,4,2024-04-16,KL002B-KL002Y,Training Partner,transparent,49.09,50.1,51.39,,,False,0.0,0,290,True,0.0,0.0,1.0344827586206897,0.0034482758620689655,0.006896551724137931,0.1810344827586207,0.0896551724137931,0.0,196.0,0.0,True,1.009999999999998,1105.7506325486668,214.68150100715565,357.50812875283975
